1,2,3,4,5,6,+
10,17,19,32,35,37,4
13,17,26,31,35,37,4
6,10,25,31,35,37,4
11,15,22,29,35,37,4
4,11,27,32,34,37,4
1,13,26,31,34,37,4
3,4,26,30,34,37,4
10,16,19,30,34,37,4
16,17,19,29,34,37,4
8,16,21,22,34,37,4
2,7,28,32,33,37,4
16,17,21,28,33,37,4
4,13,16,23,33,37,4
11,12,18,19,32,37,4
12,20,21,28,31,37,4
4,6,15,24,31,37,4
4,5,10,11,30,37,4
7,11,19,25,28,37,4
3,10,15,24,28,37,4
10,12,14,15,28,37,4
4,6,8,18,27,37,4
5,6,7,14,26,37,4
1,3,18,20,23,37,4
2,5,7,16,22,37,4
2,10,11,13,22,37,4
4,7,11,12,15,37,4
14,19,30,34,35,36,4
4,16,23,29,35,36,4
4,8,14,19,35,36,4
4,16,30,32,34,36,4
7,12,18,23,34,36,4
5,11,13,14,34,36,4
3,6,22,32,33,36,4
6,10,11,24,32,36,4
4,5,18,23,32,36,4
8,18,26,29,31,36,4
5,16,19,25,31,36,4
17,20,23,29,30,36,4
1,2,4,22,29,36,4
5,8,11,20,29,36,4
7,8,12,15,29,36,4
12,13,15,26,28,36,4
6,10,23,24,28,36,4
4,5,18,20,28,36,4
2,12,16,17,28,36,4
6,9,20,22,27,36,4
1,14,16,17,27,36,4
2,11,16,18,26,36,4
6,14,15,18,22,36,4
10,17,29,32,34,35,4
1,5,26,31,34,35,4
6,9,21,31,34,35,4
7,16,20,22,34,35,4
1,2,5,12,34,35,4
7,16,28,31,33,35,4
2,8,21,22,33,35,4
5,6,9,26,32,35,4
12,16,22,24,32,35,4
6,8,11,23,32,35,4
6,8,12,13,32,35,4
6,15,24,29,31,35,4
1,13,15,27,31,35,4
2,8,15,27,31,35,4
1,11,12,27,31,35,4
1,8,15,22,31,35,4
1,6,17,29,30,35,4
3,14,17,24,30,35,4
1,8,12,19,30,35,4
3,16,20,26,29,35,4
5,12,14,26,29,35,4
12,18,20,21,29,35,4
3,9,11,12,28,35,4
6,12,23,25,26,35,4
6,7,17,18,25,35,4
5,6,14,31,32,34,4
4,11,19,28,31,34,4
12,14,19,27,31,34,4
8,9,11,16,31,34,4
13,16,25,29,30,34,4
14,22,25,28,30,34,4
4,19,24,25,30,34,4
8,9,10,17,30,34,4
5,16,20,24,29,34,4
7,8,15,18,29,34,4
2,10,15,26,28,34,4
1,19,20,22,28,34,4
6,8,12,14,28,34,4
1,17,21,25,26,34,4
8,12,15,24,26,34,4
14,16,18,21,26,34,4
2,4,17,20,26,34,4
1,14,16,17,26,34,4
5,6,9,12,26,34,4
2,3,8,22,24,34,4
4,6,10,18,24,34,4
7,9,10,17,23,34,4
5,7,12,16,18,34,4
4,7,12,14,17,34,4
3,15,26,28,32,33,4
2,14,25,26,32,33,4
9,16,17,20,32,33,4
10,13,18,26,31,33,4
2,14,19,24,31,33,4
17,20,26,28,30,33,4
7,19,22,28,30,33,4
2,8,15,28,30,33,4
3,8,10,15,30,33,4
3,23,25,28,29,33,4
9,12,23,24,28,33,4
4,14,16,22,28,33,4
2,4,21,26,27,33,4
